"CZ_TYPE","US_FIPS","lat","long"
"C",1001,32.532237,-86.64644
"C",1003,30.659218,-87.746067
"C",1005,31.870253,-85.405104
"C",1007,33.015893,-87.127148
"C",1009,33.977358,-86.56644
"C",1011,32.101759,-85.717261
"C",1013,31.751667,-86.681969
"C",1015,33.770516,-85.827909
"C",1017,32.915504,-85.394032
"C",1019,34.069515,-85.654242
"C",1021,32.854051,-86.726607
"C",1023,31.990954,-88.248889
"C",1025,31.685521,-87.818624
"C",1027,33.2704,-85.863525
"C",1029,33.671964,-85.516126
"C",1031,31.402258,-85.989602
"C",1033,34.703112,-87.801457
"C",1035,31.430926,-86.988722
"C",1037,32.931445,-86.243482
"C",1039,31.243987,-86.448721
"C",1041,31.732826,-86.319222
"C",1043,34.131923,-86.869267
"C",1045,31.430654,-85.609476
"C",1047,32.33354,-87.114356
"C",1049,34.460929,-85.803992
"C",1051,32.597229,-86.142735
"C",1053,31.122287,-87.16841
"C",1055,34.047641,-86.034263
"C",1057,33.716157,-87.764292
"C",1059,34.441989,-87.842814
"C",1061,31.092382,-85.821022
"C",1063,32.844497,-87.9642
"C",1065,32.752796,-87.623061
"C",1067,31.516978,-85.239971
"C",1069,31.158183,-85.296411
"C",1071,34.764114,-85.980056
"C",1073,33.553444,-86.896536
"C",1075,33.787085,-88.087431
"C",1077,34.904122,-87.650997
"C",1079,34.529776,-87.321865
"C",1081,32.604064,-85.353048
"C",1083,34.810239,-86.981399
"C",1085,32.147888,-86.650586
"C",1087,32.387027,-85.692887
"C",1089,34.764238,-86.55108
"C",1091,32.247591,-87.791091
"C",1093,34.138219,-87.881551
"C",1095,34.309564,-86.321668
"C",1097,30.684572,-88.196568
"C",1099,31.580332,-87.383266
"C",1101,32.202881,-86.204461
"C",1103,34.454484,-86.846402
"C",1105,32.639005,-87.293827
"C",1107,33.296793,-88.096863
"C",1109,31.798651,-85.941604
"C",1111,33.296475,-85.464068
"C",1113,32.289811,-85.18698
"C",1115,33.712963,-86.315663
"C",1117,33.263043,-86.678089
"C",1119,32.597481,-88.200057
"C",1121,33.369314,-86.17593
"C",1123,32.863308,-85.799618
"C",1125,33.29022,-87.522783
"C",1127,33.791558,-87.301094
"C",1129,31.405217,-88.197564
"C",1131,31.990082,-87.304935
"C",1133,34.154566,-87.365346
"C",2013,55.245044,-161.997477
"C",2016,51.948964,179.621188
"C",2020,61.17425,-149.284329
"C",2050,60.929141,-160.152625
"C",2060,58.741647,-156.966909
"C",2068,63.682039,-150.027016
"C",2070,59.543326,-158.267123
"C",2090,64.676044,-146.548159
"C",2100,59.098404,-135.575791
"C",2105,58.253462,-136.320731
"C",2110,58.37291,-134.178445
"C",2122,60.360766,-152.05264
"C",2130,55.449938,-131.106685
"C",2150,57.7044,-153.918372
"C",2158,62.283588,-163.190171
"C",2164,58.108507,-156.413413
"C",2170,62.279094,-149.619094
"C",2180,64.783686,-164.188912
"C",2185,69.449343,-153.47283
"C",2188,67.005066,-160.021086
"C",2195,57.112458,-133.008598
"C",2198,55.682773,-133.162389
"C",2220,57.193204,-135.367396
"C",2230,59.560379,-135.338279
"C",2240,63.864997,-143.218628
"C",2261,61.349843,-145.023109
"C",2275,56.317416,-132.343978
"C",2282,60.017453,-140.416942
"C",2290,65.375727,-151.57785
"C",4001,35.385084,-109.490172
"C",4003,31.840129,-109.775163
"C",4005,35.829692,-111.773728
"C",4007,33.789618,-110.81187
"C",4009,32.931828,-109.87831
"C",4011,33.238872,-109.242323
"C",4012,33.72761,-114.038806
"C",4013,33.345176,-112.49893
"C",4015,35.717705,-113.749689
"C",4017,35.390785,-110.321025
"C",4019,32.128043,-111.783657
"C",4021,32.918521,-111.36634
"C",4023,31.525733,-110.845228
"C",4025,34.631071,-112.577225
"C",4027,32.773942,-113.910905
"C",5001,34.28957,-91.376547
"C",5003,33.190835,-91.772267
"C",5005,36.280268,-92.329949
"C",5007,36.337819,-94.256298
"C",5009,36.304299,-93.079236
"C",5011,33.466549,-92.169156
"C",5013,33.56046,-92.513879
"C",5015,36.33737,-93.540972
"C",5017,33.267139,-91.297158
"C",5019,34.053316,-93.176208
"C",5021,36.367302,-90.418704
"C",5023,35.566315,-92.05995
"C",5025,33.893201,-92.188714
"C",5027,33.223038,-93.232843
"C",5029,35.265702,-92.689248
"C",5031,35.827729,-90.631421
"C",5033,35.583011,-94.236219
"C",5035,35.211879,-90.315332
"C",5037,35.285692,-90.763984
"C",5039,33.967823,-92.653999
"C",5041,33.828752,-91.244103
"C",5043,33.587242,-91.722778
"C",5045,35.146548,-92.336928
"C",5047,35.508558,-93.887665
"C",5049,36.383619,-91.819664
"C",5051,34.578852,-93.146932
"C",5053,34.285568,-92.422979
"C",5055,36.120607,-90.566346
"C",5057,33.735953,-93.664355
"C",5059,34.315177,-92.944147
"C",5061,34.083064,-93.990931
"C",5063,35.737499,-91.559942
"C",5065,36.094879,-91.913625
"C",5067,35.596467,-91.223205
"C",5069,34.277239,-91.929673
"C",5071,35.573359,-93.466322
"C",5073,33.240629,-93.611514
"C",5075,36.041098,-91.101153
"C",5077,34.779505,-90.779717
"C",5079,33.957675,-91.727626
"C",5081,33.699497,-94.229774
"C",5083,35.218654,-93.72091
"C",5085,34.755114,-91.894132
"C",5087,36.012545,-93.724053
"C",5089,36.266664,-92.678577
"C",5091,33.305505,-93.901502
"C",5093,35.766944,-90.052207
"C",5095,34.679512,-91.20331
"C",5097,34.545656,-93.664153
"C",5099,33.666699,-93.305072
"C",5101,35.910742,-93.215898
"C",5103,33.591168,-92.878413
"C",5105,34.946363,-92.926877
"C",5107,34.423687,-90.855593
"C",5109,34.158191,-93.658659
"C",5111,35.56887,-90.681104
"C",5113,34.490915,-94.230884
"C",5115,35.456557,-93.026818
"C",5117,34.831116,-91.55362
"C",5119,34.770311,-92.312996
"C",5121,36.341298,-91.028441
"C",5123,35.022838,-90.751505
"C",5125,34.648525,-92.674463
"C",5127,34.858869,-94.063641
"C",5129,35.896387,-92.695888
"C",5131,35.196981,-94.274989
"C",5133,33.994877,-94.243279
"C",5135,36.173399,-91.471069
"C",5137,35.857001,-92.140482
"C",5139,33.168219,-92.598145
"C",5141,35.582953,-92.515976
"C",5143,35.978001,-94.217269
"C",5145,35.255118,-91.753034
"C",5147,35.192777,-91.244535
"C",5149,34.997713,-93.408303
"C",6001,37.647139,-121.912488
"C",6003,38.621783,-119.798352
"C",6005,38.44355,-120.653856
"C",6007,39.665959,-121.601919
"C",6009,38.1839,-120.561441
"C",6011,39.177739,-122.237563
"C",6013,37.919479,-121.951543
"C",6015,41.763958,-124.003614
"C",6017,38.785612,-120.534225
"C",6019,36.761006,-119.655019
"C",6021,39.602546,-122.4017
"C",6023,40.706655,-123.926176
"C",6025,33.040814,-115.3554
"C",6027,36.561977,-117.403927
"C",6029,35.346629,-118.729506
"C",6031,36.072478,-119.81553
"C",6033,39.094802,-122.746757
"C",6035,40.721086,-120.629952
"C",6037,34.196398,-118.261862
"C",6039,37.209821,-119.749802
"C",6041,38.051817,-122.745974
"C",6043,37.57003,-119.912861
"C",6045,39.432388,-123.442881
"C",6047,37.194806,-120.722802
"C",6049,41.592918,-120.71837
"C",6051,37.915836,-118.875167
"C",6053,36.240107,-121.315572
"C",6055,38.5071,-122.325904
"C",6057,39.297508,-120.771343
"C",6059,33.675687,-117.777207
"C",6061,39.062032,-120.722718
"C",6063,39.992295,-120.824371
"C",6065,33.729828,-116.002239
"C",6067,38.450016,-121.340441
"C",6069,36.611651,-121.085811
"C",6071,34.85722,-116.181197
"C",6073,33.023604,-116.776117
"C",6075,37.727239,-123.032229
"C",6077,37.934982,-121.272244
"C",6079,35.385224,-120.447544
"C",6081,37.414672,-122.371546
"C",6083,34.537057,-120.039973
"C",6085,37.220695,-121.69051
"C",6087,37.012488,-122.007205
"C",6089,40.760514,-122.043556
"C",6091,39.576925,-120.521993
"C",6093,41.587986,-122.533287
"C",6095,38.267226,-121.939594
"C",6097,38.525182,-122.92611
"C",6099,37.562316,-121.002831
"C",6101,39.03619,-121.70394
"C",6103,40.126157,-122.232274
"C",6105,40.647803,-123.114476
"C",6107,36.228834,-118.781055
"C",6109,38.021434,-119.964733
"C",6111,34.358741,-119.133143
"C",6113,38.679596,-121.902441
"C",6115,39.27013,-121.344259
"C",8001,39.874325,-104.331872
"C",8003,37.568442,-105.788041
"C",8005,39.644554,-104.331706
"C",8007,37.202395,-107.050863
"C",8009,37.30978,-102.543741
"C",8011,37.931891,-103.077584
"C",8013,40.09497,-105.397691
"C",8014,39.953593,-105.050787
"C",8015,38.738223,-106.316683
"C",8017,38.835646,-102.601791
"C",8019,39.669732,-105.69257
"C",8021,37.213406,-106.176447
