"STATE","ZONE","NAME","LON","LAT"
"AK",17,"Cape Fairweather to Cape Suckling Coastal Area",-140.5769,59.9186
"AK",18,"Taiya Inlet and Klondike Highway",-135.3379,59.5601
"AK",19,"Haines Borough and Lynn Canal",-135.4305,59.0948
"AK",20,"Glacier Bay",-136.3756,58.7916
"AK",21,"Eastern Chichagof Island",-135.4494,57.8972
"AK",22,"Salisbury Sound to Cape Fairweather Coastal Area",-136.5865,58.1508
"AK",23,"Cape Decision to Salisbury Sound Coastal Area",-135.1569,56.8995
"AK",24,"Eastern Baranof Island and Southern Admiralty Island",-134.5918,57.3054
"AK",25,"Juneau Borough and Northern Admiralty Island",-133.7988,58.0197
"AK",26,"Inner Channels from Kupreanof Island to Etolin Island",-132.9829,56.5977
"AK",27,"Dixon Entrance to Cape Decision Coastal Area",-133.0104,55.2934
"AK",28,"Southern Inner Channels",-132.0523,55.5366
"AK",29,"Misty Fjords",-130.8113,55.753
"AK",101,"Anchorage",-149.5182,61.1948
"AK",111,"Matanuska Valley",-149.1656,61.5885
"AK",121,"Western Kenai Peninsula",-150.709,60.3254
"AK",125,"Western Prince William Sound",-148.9949,60.3981
"AK",131,"Northeast Prince William Sound",-146.3607,61.1551
"AK",135,"Southeast Prince William Sound",-145.182,60.5499
"AK",141,"Copper River Basin",-144.9308,61.9008
"AK",145,"Susitna Valley",-150.6874,62.122
"AK",152,"Lower Kuskokwim Valley",-156.3169,61.5198
"AK",155,"Kuskokwim Delta",-162.914,60.6698
"AK",161,"Bristol Bay",-157.2451,59.2984
"AK",171,"Kodiak Island",-154.1629,58.2911
"AK",181,"Alaska Peninsula",-161.2033,55.6116
"AK",185,"Eastern Aleutians",-167.2048,53.5983
"AK",187,"Central Aleutians",-175.0715,52.0613
"AK",191,"Western Aleutians",175.5393,52.3658
"AK",195,"Pribilof Islands",-169.979,56.9092
"AK",201,"Western Arctic Coast",-160.3323,70.0813
"AK",202,"Northern Arctic Coast",-155.3712,70.6873
"AK",203,"Central Beaufort Sea Coast",-149.5616,70.2069
"AK",204,"Eastern Beaufort Sea Coast",-143.7831,69.8866
"AK",205,"Northwestern Brooks Range",-157.3,69.2115
"AK",206,"Northeastern Brooks Range",-148.2525,69.0427
"AK",207,"Chukchi Sea Coast",-165.286,66.8027
"AK",208,"Lower Kobuk and Noatak Valleys",-162.214,67.8186
"AK",209,"Baldwin Peninsula and Selawik Valley",-160.8656,66.6468
"AK",210,"Northern and Interior Seward Peninsula",-162.5763,65.4916
"AK",211,"Southern Seward Peninsula Coast",-164.4924,64.6146
"AK",212,"Eastern Norton Sound and Nulato Hills",-161.0572,63.9319
"AK",213,"St Lawrence Island and Bering Strait Coast",-168.3102,64.5057
"AK",214,"Yukon Delta",-163.8145,62.1405
"AK",215,"Lower Yukon Valley",-159.5937,62.714
"AK",216,"Lower Koyukuk and Middle Yukon Valleys",-156.605,64.7408
"AK",217,"Upper Kobuk and Noatak Valleys",-157.2832,67.3545
"AK",218,"Southeastern Brooks Range",-146.8934,67.8926
"AK",219,"Upper Koyukuk Valley",-152.5178,66.3788
"AK",220,"Yukon Flats and Surrounding Uplands",-145.5753,66.4063
"AK",221,"Central Interior",-151.4866,64.7065
"AK",222,"Middle Tanana Valley",-147.348,64.9934
"AK",223,"Deltana and Tanana Flats",-146.6153,64.2155
"AK",224,"Upper Tanana Valley and the Fortymile Country",-142.878,64.409
"AK",225,"Denali",-150.0988,63.5852
"AK",226,"Eastern Alaska Range",-144.4681,63.0805
"AK",227,"Upper Kuskokwim Valley",-154.2532,62.9842
"AL",1,"Lauderdale",-87.6544,34.9015
"AL",2,"Colbert",-87.8049,34.7005
"AL",3,"Franklin",-87.8438,34.4417
"AL",4,"Lawrence",-87.311,34.522
"AL",5,"Limestone",-86.9813,34.8101
"AL",6,"Madison",-86.5502,34.7631
"AL",7,"Morgan",-86.8529,34.4535
"AL",8,"Marshall",-86.3066,34.3669
"AL",9,"Jackson",-85.9993,34.7794
"AL",10,"DeKalb",-85.8041,34.4598
"AL",11,"Marion",-87.8871,34.1366
"AL",12,"Lamar",-88.0969,33.7792
"AL",13,"Fayette",-87.7389,33.7212
"AL",14,"Winston",-87.3737,34.1492
"AL",15,"Walker",-87.2973,33.8034
"AL",16,"Cullman",-86.8676,34.132
"AL",17,"Blount",-86.5674,33.9809
"AL",18,"Etowah",-86.0348,34.0453
"AL",19,"Calhoun",-85.8261,33.7714
"AL",20,"Cherokee",-85.6038,34.176
"AL",21,"Cleburne",-85.5188,33.6745
"AL",22,"Pickens",-88.0887,33.2809
"AL",23,"Tuscaloosa",-87.525,33.2895
"AL",24,"Jefferson",-86.8965,33.5543
"AL",25,"Shelby",-86.6607,33.2643
"AL",26,"St. Clair",-86.3147,33.7157
"AL",27,"Talladega",-86.1659,33.38
"AL",28,"Clay",-85.8605,33.2691
"AL",29,"Randolph",-85.4591,33.2938
"AL",30,"Sumter",-88.1988,32.591
"AL",31,"Greene",-87.9522,32.8531
"AL",32,"Hale",-87.6291,32.7627
"AL",33,"Perry",-87.2942,32.6385
"AL",34,"Bibb",-87.1264,32.9986
"AL",35,"Chilton",-86.7188,32.8479
"AL",36,"Coosa",-86.2476,32.9362
"AL",37,"Tallapoosa",-85.7975,32.8624
"AL",38,"Chambers",-85.392,32.9144
"AL",39,"Marengo",-87.7895,32.2476
"AL",40,"Dallas",-87.1065,32.3258
"AL",41,"Autauga",-86.6428,32.5349
"AL",42,"Lowndes",-86.6501,32.1547
"AL",43,"Elmore",-86.1492,32.5966
"AL",44,"Montgomery",-86.2076,32.2202
"AL",45,"Macon",-85.6926,32.386
"AL",46,"Bullock",-85.7161,32.1005
"AL",47,"Lee",-85.3556,32.6012
"AL",48,"Russell",-85.1849,32.2884
"AL",49,"Pike",-85.9409,31.8024
"AL",50,"Barbour",-85.3932,31.8696
"AL",51,"Choctaw",-88.2628,32.0192
"AL",52,"Washington",-88.2071,31.4077
"AL",53,"Clarke",-87.8309,31.6709
"AL",54,"Wilcox",-87.3082,31.9892
"AL",55,"Monroe",-87.3658,31.5706
"AL",56,"Conecuh",-86.9936,31.4293
"AL",57,"Butler",-86.6803,31.7524
"AL",58,"Crenshaw",-86.3136,31.7315
"AL",59,"Escambia",-87.1616,31.1262
"AL",60,"Covington",-86.4512,31.2485
"AL",65,"Coffee",-85.9882,31.4026
"AL",66,"Dale",-85.611,31.4318
"AL",67,"Henry",-85.2414,31.5147
"AL",68,"Geneva",-85.839,31.095
"AL",69,"Houston",-85.3025,31.1532
"AL",261,"Mobile Inland",-88.1763,30.9712
"AL",262,"Baldwin Inland",-87.7677,31.0199
"AL",263,"Mobile Central",-88.2327,30.6559
"AL",264,"Baldwin Central",-87.6925,30.5912
"AL",265,"Mobile Coastal",-88.2224,30.4279
"AL",266,"Baldwin Coastal",-87.6509,30.3528
"AR",1,"Benton",-94.2573,36.3392
"AR",2,"Carroll",-93.5382,36.341
"AR",3,"Boone",-93.0915,36.3086
"AR",4,"Marion",-92.6842,36.2684
"AR",5,"Baxter",-92.337,36.2872
"AR",6,"Fulton",-91.8183,36.3817
"AR",7,"Sharp",-91.4799,36.1611
"AR",8,"Randolph",-91.0278,36.3415
"AR",9,"Clay",-90.4173,36.3685
"AR",10,"Washington",-94.2147,35.98
"AR",11,"Madison",-93.7246,36.011
"AR",12,"Newton",-93.2179,35.92
"AR",13,"Searcy",-92.6995,35.9109
"AR",14,"Stone",-92.1567,35.8599
